pm_id,pm_date,pm_title,pm_authors,pm_affiliations,pm_journals,pm_abstract
28398957,2017-04-12,Association of HIV diagnosis rates and laws criminalizing HIV exposure in the United States.,Patricia Sweeney ; Simone C Gray ; David W Purcell ; Jenny Sewell ; Aruna Surendera Babu ; Brett A Tarver ; Joseph Prejean ; Jonathan Mermin,"aDivision of HIV/AIDS Prevention bICF Macro International cNational Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention, Centers for Disease Control and Prevention, Atlanta, Georgia, USA.","aids. ; acquired immune deficiency syndrome ; aids (london, england) ; aids","To assess whether state criminal exposure laws are associated with HIV and stage 3 (AIDS) diagnosis rates in the United States.
We assessed the relationship between HIV and stage 3 (AIDS) diagnosis data from the National HIV Surveillance System and the presence of a state criminal exposure law as identified through WestlawNext by using generalized estimating equations.
We limited analysis to persons aged at least 13 years with diagnosed HIV infection or AIDS reported to the National HIV Surveillance System of the Centers for Disease Control and Prevention. The primary outcome measures were rates of diagnosis of HIV (2001-2010 in 33 states) and AIDS (1994-2010 in 50 states) per 100 000 individuals per year. In addition to criminal exposure laws, state-level factors evaluated for inclusion in models included income, unemployment, poverty, education, urbanicity, and race/ethnicity.
At the end of the study period, 30 states had laws criminalizing HIV exposure. In bivariate models (P < 0.05), unemployment, poverty, education, urbanicity, and race/ethnicity were associated with HIV and AIDS diagnoses. In final models, proportion of adults with less than a high school education and percentage of the population living in urban areas were significantly associated with HIV and AIDS diagnoses over time; criminal exposure laws were not associated with diagnosis rates.
We found no association between HIV or AIDS diagnosis rates and criminal exposure laws across states over time, suggesting that these laws have had no detectable HIV prevention effect."
28495525,2017-05-08,Latent tuberculosis infection: the final frontier of tuberculosis elimination in the USA.,Philip A LoBue ; Jonathan H Mermin,"National Center for HIV/AIDS, Viral Hepatitis, STD and TB Prevention, US Centers for Disease Control and Prevention, Atlanta, GA, USA. Electronic address: plobue@cdc.gov. ; National Center for HIV/AIDS, Viral Hepatitis, STD and TB Prevention, US Centers for Disease Control and Prevention, Atlanta, GA, USA.",lancet infect dis ; infectious diseases ; the lancet. ; the lancet. infectious diseases ; the lancet. infectious diseases. ; lancet infectious diseases ; lancet. ; lancet. infectious diseases.,"Since 1989, the USA has been pursuing the goal of tuberculosis elimination. After substantial progress during the past two decades, the rate of tuberculosis cases in the USA each year has now levelled off and remains well above the elimination threshold. Both epidemiological data and modelling underline the necessity of addressing latent tuberculosis infection if further progress is to be made in eliminating the disease. In this Personal View we explore next steps towards elimination. Given the estimated prevalence of latent tuberculosis infection, compared with the limited testing and treatment that currently occur, a major new effort is required. This effort should consist of a surveillance system or registry to monitor progress, scale-up of targeted testing for latent tuberculosis infection in at-risk populations, scale-up of short-course treatment regimens, engagement of affected communities and medical providers who serve those communities, and increased public health staffing for implementation and oversight. Such an effort would benefit greatly from the development of new tools, such as tests that better indicate reactivation risk, and even shorter latent tuberculosis infection treatment regimens than currently exist."
28562265,2017-05-01,Trends in Food and Beverage Consumption Among Infants and Toddlers: 2005-2012.,Gandarvaka Miles ; Anna Maria Siega-Riz,"Department of Epidemiology, University of North Carolina at Chapel Hill Gillings School of Global Public Health, Chapel Hill, North Carolina; and glmiles@unc.edu. ; Department of Public Health Sciences, University of Virginia School of Medicine, Charlottesville, Virginia.","pediatrics. ; pediatrics ; pediatrics, springf.","Nutritional guidance for infants and toddlers is lacking, and the diets of American children in the first 2 years of life are not well characterized.
Cross-sectional data from the NHANES were used to describe the diets of 0- to 23-month-olds in the United States. Participants with complete dietary data were eligible for the analysis (N = 2359). Linear regression models were constructed to identify changes from 2005 to 2008 and from 2009 to 2012 in food and beverage consumption, both overall and within sociodemographic groups.
We observed several trends toward meeting early-feeding recommendations, such as a decline in the prevalence of complementary feeding among 0- to 5-month-olds. However, the prevalence of vegetable consumption was consistently lower than desired (∼25% of 6- to 11-month-olds and 20% of 12- to 23-month-olds had no reported vegetable consumption on dietary recall days in the 2009-2012 set). Subgroup analyses revealed that some trends were limited to certain populations (eg, a decline in juice consumption was observed among 6- to 11-month-old non-Hispanic whites and non-Hispanic blacks but not among Mexican Americans), and additional trends emerged within groups (eg, the prevalence of breast milk consumption declined among 0- to 5-month-old Mexican Americans).
Although there have been some improvements in the diets of 0- to 23-month-olds in recent years, there are areas in which this population continues to fall short of current recommendations. This underscores the need for additional policy guidance for providers and education for parents and caretakers on helping infants and toddlers achieve healthy diets."
28424763,2017-03-30,Airway Problems in Neonates-A Review of the Current Investigation and Management Strategies.,Quen Mok,"Pediatric and Neonatal Intensive Care Units, Critical Care Division, Great Ormond Street Hospital for Children, London, UK.",front pediatr ; frontiers in pediatrics,"Airway problems in the neonatal population are often life threatening and raise challenging issues in diagnosis and management. The airway problems can result from congenital or acquired lesions and can be broadly classified into those causing obstruction or those due to an abnormal ""communication"" in the airway. Many different investigations are now available to identify the diagnosis and quantify the severity of the problem, and these tests can be simple or invasive. Bronchography and bronchoscopy are essential to determine the extent and severity of the airway problem and to plan treatment strategy. Further imaging techniques help to delineate other commonly associated abnormalities. Echocardiography is also important to confirm any associated cardiac abnormality. In this review, the merits and disadvantages of the various investigations now available to the clinician will be discussed. The current therapeutic strategies are discussed, and the review will focus on the most challenging conditions that cause the biggest management conundrums, specifically laryngotracheal cleft, congenital tracheal stenosis, and tracheobronchomalacia. Management of acquired stenosis secondary to airway injury from endotracheal intubation will also be discussed as this is a common problem. Slide tracheoplasty is the preferred surgical option for long-segment tracheal stenosis, and results have improved significantly. Stents are occasionally required for residual or recurrent stenosis following surgical repair. There is sufficient evidence that a multidisciplinary team approach for managing complex airway issues provides the best results for the patient. There is ongoing progress in the field with newer diagnostic tools as well as development of innovative management techniques, such as biodegradable stents and stem cell-based tracheal transplants, leading to a much better prognosis for these children in the future."
28719326,2017-07-19,"Malaria-Related Hospitalizations in the United States, 2000-2014.",Diana Khuu ; Mark L Eberhard ; Benjamin N Bristow ; Marjan Javanbakht ; Lawrence R Ash ; Shira C Shafir ; Frank J Sorvillo,"Research, Epidemiology, and Evaluation Unit, Clinical Services and Research Branch, Substance Abuse Prevention and Control, Los Angeles County Department of Public Health, Alhambra, California. | Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California. ; Parasitic Diseases Branch, Division of Parasitic Diseases and Malaria, Center for Global Health, Centers for Disease Control and Prevention, Atlanta, Georgia. ; Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California. ; Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California. ; Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California. ; TOMS Shoes, LLC, Los Angeles, California. | Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California. ; Department of Epidemiology, Fielding School of Public Health, University of California, Los Angeles, Los Angeles, California.",american journal of tropical medicine and hygiene. ; am. j. trop. med. hyg. ; amer j trop med ; the american journal of tropical medicine and hygiene. ; the american journal of tropical medicine & hygiene. ; am j trop med hyg ; american journal of tropical medicine & hygiene. ; the american journal of tropical medicine and hygiene ; am. j. trop. m. ; tropical medicine & hygiene ; tropical medicine and hygiene ; am. j. trop. m. hyg.,"Few data are available on the burden of malaria hospitalization in the United States. Study of malaria using hospital-based data can better define the impact of malaria and help inform prevention efforts. U.S. malaria cases identified from hospitalization discharge records in the 2000-2014 Nationwide Inpatient Sample were examined. Frequencies and population rates were reported by demographics, infecting species, clinical, financial, institutional, geographic, and seasonal characteristics, and disparities were identified. Time trends in malaria cases were assessed using negative binomial regression. From 2000 to 2014, there were an estimated 22,029 malaria-related hospitalizations (4.88 per 1 million population) in the United States, including 182 in-hospital deaths and 4,823 severe malaria cases. The rate of malaria-related hospitalizations did not change significantly over the study period. The largest number of malaria-related hospitalizations occurred in August. Malaria-related hospitalizations occurred disproportionately among patients who were male, black, or 25-44 years of age. Plasmodium falciparum accounted for the majority of malaria-related hospitalizations. On average, malaria patients were hospitalized for 4.36 days with charges of $25,789. Patients with a malaria diagnosis were more often hospitalized in the Middle Atlantic and South Atlantic census divisions, urban teaching, private not-for-profit, and large-bed-size hospitals. Malaria imposes a substantial disease burden in the United States. Enhanced primary and secondary prevention measures, including strategies to increase the use of pretravel consultations and prompt diagnosis and treatment are needed."
28460397,2017-05-02,Web Exclusives. Annals Story Slam - Perspective From Abroad.,Stephen J Gluckman,"From University of Pennsylvania, Philadelphia, Pennsylvania.",ann intern med ; ann. int. med. ; ann. int. m. ; annals of internal medicine ; annals of internal medicine. ; ann. intern. med. ; rheumatism review,
28442474,2017-04-25,"Saturated fat does not clog the arteries: coronary heart disease is a chronic inflammatory condition, the risk of which can be effectively reduced from healthy lifestyle interventions.",Aseem Malhotra ; Rita F Redberg ; Pascal Meier,"Lister Hospital, Academy of Medical Royal Colleges, Stevenage, UK. ; Philip R Lee Institute for Health Policy Studies, San Francisco, California, USA. | Department of Medicine, UCSF School of Medicine, San Francisco, California, USA. ; Department of Cardiology, University Hospital Geneva, Geneva, Switzerland. | Department of Cardiology, University College London, London, UK.",british journal of sports medicine ; british journal of sports medicine. ; bjsm ; br j sports med,
28455364,2017-04-28,"Role of advanced neuroimaging, fluid biomarkers and genetic testing in the assessment of sport-related concussion: a systematic review.",Michael McCrea ; Timothy Meier ; Daniel Huber ; Alain Ptito ; Erin Bigler ; Chantel T Debert ; Geoff Manley ; David Menon ; Jen-Kai Chen ; Rachel Wall ; Kathryn J Schneider ; Thomas McAllister,"Department of Neurosurgery, Medical College of Wisconsin, Milwaukee, Wisconsin, USA. ; Department of Neurosurgery, Medical College of Wisconsin, Milwaukee, Wisconsin, USA. | Department of Cell Biology, Neurobiology and Anatomy, Medical College of Wisconsin, Milwaukee, Wisconsin, USA. ; Department of Neurosurgery, Medical College of Wisconsin, Milwaukee, Wisconsin, USA. ; Departments of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada. | Research Institute and Department of Psychology, McGill University Health Centre, Montreal, Quebec, Canada. ; Department of Psychology and Neuroscience Center, Brigham Young University, Provo, Utah, USA. ; Clinical Neurosciences, University of Calgary, Calgary, Alberta, Canada. ; Department of Neurosurgery, University of California San Francisco, San Francisco, California, USA. ; Division of Anaesthesia, University of Cambridge, Cambridge, UK. ; Cognitive Neuroscience Unit, Montreal Neurological Institute and Hospital, Montreal, Quebec, Canada. ; Department of Psychiatry, Indiana University School of Medicine, Indianapolis, Indiana, USA. ; Faculty of Kinesiology, University of Calgary, Calgary, Alberta, Canada. ; Department of Psychiatry, Indiana University School of Medicine, Indianapolis, Indiana, USA.",british journal of sports medicine ; british journal of sports medicine. ; bjsm ; br j sports med,"To conduct a systematic review of published literature on advanced neuroimaging, fluid biomarkers and genetic testing in the assessment of sport-related concussion (SRC).
Computerised searches of Medline, PubMed, Cumulative Index to Nursing and Allied Health Literature (CINAHL), PsycINFO, Scopus and Cochrane Library from 1 January 2000 to 31 December 2016 were done. There were 3222 articles identified.
In addition to medical subject heading terms, a study was included if (1) published in English, (2) represented original research, (3) involved human research, (4) pertained to SRC and (5) involved data from neuroimaging, fluid biomarkers or genetic testing collected within 6 months of injury. Ninety-eight studies qualified for review (76 neuroimaging, 16 biomarkers and 6 genetic testing).
Separate reviews were conducted for neuroimaging, biomarkers and genetic testing. A standardised data extraction tool was used to document study design, population, tests employed and key findings. Reviewers used a modified quality assessment of studies of diagnostic accuracy studies (QUADAS-2) tool to rate the risk of bias, and a modified Grading of Recommendations Assessment, Development, and Evaluation (GRADE) system to rate the overall level of evidence for each search.
Results from the three respective reviews are compiled in separate tables and an interpretive summary of the findings is provided.
Advanced neuroimaging, fluid biomarkers and genetic testing are important research tools, but require further validation to determine their ultimate clinical utility in the evaluation of SRC. Future research efforts should address current gaps that limit clinical translation. Ultimately, research on neurobiological and genetic aspects of SRC is predicted to have major translational significance to evidence-based approaches to clinical management of SRC, much like applied clinical research has had over the past 20 years."
28371016,2017-04-04,Prostate cancer family history and eligibility for active surveillance: a systematic review of the literature.,Jaya M Telang ; Brian R Lane ; Michael L Cher ; David C Miller ; James M Dupree,"Department of Urology, University of Michigan, Ann Arbor, MI, USA. ; Spectrum Health Medical Center, Grand Rapids, MI, USA. ; Department of Urology, Wayne State University, Detroit, MI, USA. ; Department of Urology, University of Michigan, Ann Arbor, MI, USA. ; Department of Urology, University of Michigan, Ann Arbor, MI, USA.",bju int ; bju international ; bju int. ; bju international.,"Active surveillance (AS) is an increasingly prevalent treatment choice for low grade prostate cancer. Eligibility criteria for AS are varied and it is unclear if family history of prostate cancer should be used as an exclusion criterion when considering men for AS. To determine whether family history plays a significant role in the progression of prostate cancer for men undergoing active surveillance, PubMed searches of 'family history and prostate cancer', 'family history and prostate cancer progression' and 'factors of prostate cancer progression' were used to identify research publications about the relationship between family history and prostate cancer progression. These searches generated 536 papers that were screened and reviewed. Six publications were ultimately included in this analysis. Review of the six publications suggests that family history does not increase the risk of prostate cancer progression, whilst a subgroup analysis in one study found that family history increases the risk of prostate cancer progression only in African-Americans. A family history of prostate cancer does not appear to increase a patient's risk of having more aggressive prostate cancer and is therefore unlikely to be an important factor in determining eligibility for AS. Further studies are needed to better understand the relationship between race, family history, and eligibility for AS."
27524716,2016-08-16,Active surveillance for prostate cancer: is it too active?,Behfar Ehdaie,"Department of Surgery, Urology Service, Center of Health Policy and Outcomes, Memorial Sloan Kettering Cancer Center, New York, NY, USA. | Department of Epidemiology and Biostatistics, Center of Health Policy and Outcomes, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",bju int ; bju international ; bju int. ; bju international.,
