news_id,news_date,news_title,news_content
2pKZdnW,2017-05-01,Criminal laws fail to deter transmission of AIDS virus," More than 30 years since the first criminal laws were enacted in the United States to try to prevent the spread of the human immunodeficiency virus (HIV), a new study suggests that the regulations have failed to slow transmission of the deadly virus.   The laws impose criminal penalties on people who know they have HIV and engage in behaviors such as sexual activity or needle sharing that might transmit the virus to others, without disclosing their infection status.   “There has been much discussion about whether criminal-exposure laws affect HIV-risk behaviors or transmission,” senior author Dr. Jonathan Mermin said in an email. “In this analysis, we found no association between HIV diagnosis rates and laws that criminalize HIV exposure.”   Working with data collected in 33 states from 2001-2010, Mermin and colleagues at the U.S. Centers for Disease Control and Prevention (CDC) in Atlanta tracked diagnoses of HIV, the virus that causes the acquired immunodeficiency syndrome (AIDS). They also analyzed AIDS diagnosis rates in all 50 states from 1994-2010.    By the end of 2010, 30 states had passed criminal-exposure laws. But the new study, published in the journal AIDS, found no association between criminal-exposure laws and HIV or AIDS diagnosis rates.   The researchers did find two factors associated with higher HIV and AIDS diagnosis rates: lack of education and living in urban areas.   Ayako Miyashita, director of the Los Angeles HIV Law and Policy Project at the UCLA School of Law, said the study “underscores the fact that we understand the social and structural drivers of the epidemic, and that criminalization is not a particularly useful tool in addressing HIV transmission.”   “These laws are harmful,” said Miyashita, who was not involved with the study, in an email. “They embody the continued fear and stigma associated with HIV and serve to perpetuate a lack of awareness and understanding about existing biomedical interventions.”   More than 1.2 million people in the U.S. have been diagnosed with HIV, according to the CDC. About a third of them take antiretroviral therapy, which can virtually eliminate the possibility of transmitting the virus to others.    Few HIV criminalization laws consider whether an HIV-positive person took measures to reduce the risk of transmitting the virus, the authors write.    A 2013 report in ProPublica pointed out that people have been prosecuted for nondisclosure of HIV infection even when they were using condoms or taking antiviral drugs that made transmission very unlikely ( bit.ly/1ZBdlfN ).   HIV criminal-exposure laws have engendered debate about their effectiveness since 1986, when states first enacted them, the authors write. The laws were intended to encourage people who tested positive for HIV to disclose the fact to potential sex partners and to discourage behaviors that could expose others.    Some feared the laws could have the reverse effect and increase transmission by discouraging testing; if people don’t know they have the virus, they can’t be prosecuted under these laws.    Since 2010, an estimated 40,000 people a year in the U.S. have been diagnosed with HIV.    HIV disproportionately infects blacks, African-Americans, gay Hispanics and Hispanics who inject drugs, previous studies have shown. The new analysis too found that minority populations had higher HIV and AIDS diagnosis rates.    Amira Hasenbush, who has studied HIV criminalization laws in California, said in an email that her research has shown that the laws disproportionately target women and people of color. Hasenbush, a fellow at The Williams Institute at the UCLA School of Law, was not involved with the new study.   “Enforcement data show that HIV criminalization is yet another example of the criminalization of the poor, criminalization of people of color and criminalization of otherwise marginalized populations,” Miyashita said. “We know HIV impacts these communities greatly, and it’s time we realize criminalization is not the solution to addressing the epidemic.”   Miyashita called for review, if not repeal, of all HIV criminalization laws.    “Criminalization is not the solution to this problem,” she said. “These data prove that.”  "
2qlUnlb,2017-05-01,Many U.S. babies and toddlers still don’t have a balanced diet," (Reuters Health) - Despite some recent improvements in how U.S. parents feed young children, more than half of babies aren’t getting any breast milk and many toddlers don’t eat enough fruits and veggies, a new study suggests.   About two in five infants consume breast milk, which doctors recommend for the health of mothers and babies alike. That statistic didn’t change much over the study period from 2005 to 2012.  But more parents stopped giving infants solid foods before six months of age, a practice doctors discourage because solids are harder to swallow and can be less nutritious and higher in calories than breast milk or infant formula.    At least nine in 10 toddlers consume at least a little bit of either fruit or veggies on a typical day, and this didn’t change much during the study period, researchers report in Pediatrics. But the most common veggie was potatoes, and the least popular option was dark green vegetables.    “We knew from previous studies that more work was needed to improve feeding habits in this age group, and we observed many of the same trends in our study: a substantial proportion of American infants are not breastfed, vegetable consumption is lower than desired, and consumption of sweetened beverages and sugary snacks is prevalent,” said study co-author Gandarvaka Miles, a public health researcher at the University of North Carolina at Chapel Hill.    “However, we did observe some trends in the right direction,” Miles added by email.   Pediatricians recommend that mothers exclusively breastfeed infants until at least six months of age because it can reduce babies’ risk of ear and respiratory infections, sudden infant death syndrome, allergies, childhood obesity and diabetes.   Mothers can benefit too, with longer periods of breastfeeding linked to lower risks of depression, bone deterioration and certain cancers.   From 2005 to 2008 and again from 2009 to 2012, researchers surveyed parents about infant and toddler eating habits. For the new study, they compared data collected from a total of 2,359 participants.    The proportion of babies under six months of age who were breastfed, exclusively or not, was little changed during this time and was about 36 percent by the end of the study period.    In this age group, however, there was a meaningful reduction in use of infant cereals and fruit juices for babies, which were being fed to 26 percent and 7 percent, respectively, by the end of the study. Pediatricians recommend delaying fruit juice until after age one.    With the older children in the study, researchers found toddlers were more likely to consume fried white potatoes than green vegetables. Consumption of green veggies fell by half during the study to only about 8 percent of toddlers by the end.    “The rates for vegetable consumption are disappointing, as most parents will know that vegetables are healthy but this isn’t translating into consumption rates in their children,” Dr. Helen Coulthard of De Montfort University in the UK, who wasn’t involved in the study, said by email.    One limitation of the study is that parents’ ability to accurately recall and report on how they fed their children during infancy and early childhood isn’t always reliable, the authors note. Researchers also didn’t account for portion sizes.    Still, the findings suggest that parents who struggle to feed their kids the way doctors recommend may be in good company, said Dr. Myles Faith, a researcher at the University at Buffalo who wasn’t involved in the study.    One of the best ways to get kids to try more foods is to stick with it, and keep putting different things in front of them to taste, Faith said by email.    “Repeated exposure to foods increases children’s preferences and intake,” Faith added. “So, the more opportunities infants and children have to see, taste, and experience fruits and vegetables, the more receptive they should become over time.”   These efforts matter because they can influence children’s eating habits and health later in life, said Dr. Elise Mok of the Research Institute of the McGill University Health Center in Canada.    “Early diet has been associated with weight status during childhood and cardiometabolic health in adulthood,” Mok, who wasn’t involved in the study, said by email.   "
2oH8XyC,2017-04-28,"Malaria, wiped out in U.S., still plagues American travelers"," (Reuters Health) - U.S. public health officials declared victory over malaria in 1951, but the mosquito-borne disease continues to infect and kill American travelers, a new study shows.                     An Anopheles stephensi mosquito obtains a blood meal from a human host through its pointed proboscis in this undated handout photo obtained by Reuters November 23, 2015.  REUTERS/Jim Gathany/CDC/Handout via Reuters        From 2000 through 2014, more than 22,000 people with malaria were hospitalized in the U.S., including 182 who died from it, according to estimates published in the American Journal of Tropical Medicine and Hygiene.   Using hospitalization data, researchers found an average of more than 2,100 U.S. malaria cases a year – nearly double the number previously reported.   Most of those hospitalized for malaria in the U.S. are men. A majority are black, most likely foreign-born individuals who traveled abroad, frequently to their countries of origin, where they often fail to realize they are no longer immune to the deadly parasitic disease, lead author Diana Khuu said in a phone interview.   “We need to encourage travelers to seek pre-travel advice and to use personal protective measures against mosquitoes and anti-malarial medications when they travel to malarious countries,” said Khuu, an epidemiologist at the UCLA Fielding School of Public Health.   “Because a lot of people are not using these preventive measures, it’s resulting in a lot of hospitalizations and in half a billion dollars in hospital charges from 2000 to 2014,” she said.    Insecticide-treated bed nets have been credited with spurring a 41 percent drop in worldwide malaria incidence and a 62 percent drop in worldwide malaria deaths over the past 15 years.    Despite the progress, malaria infected an estimated 212 million people and killed an estimated 429,000 in 2015. Nearly 90 percent of cases were in children under age 5 in Africa, where malaria claims a child’s life every two minutes, according to a statement from the National Institutes of Health this week on World Malaria Day, April 25.   Meanwhile, the number of imported malaria cases has steadily increased in the U.S.    Dr. Stephen Gluckman of the Perelman School of Medicine at the University of Pennsylvania in Philadelphia sees six to 10 patients a week who travel to malaria-risk areas in Africa, India, Southeast Asia and parts of South America.   He attributes the increase in U.S. malaria cases to an increase in Americans traveling to developing parts of the world where the disease continues to threaten lives.   He advises people traveling outside the U.S. to consult a “bona fide” travel clinic before departing. “There are several options and significant nuances in advice for preventing malaria,” he said in an email.    Checking the U.S. Centers for Disease Control and Prevention website for travelers ( bit.ly/2k74gQd ) also can be helpful, but Gluckman, who was not involved with the study, believes individualized advice is superior.   He warned that people infected with malaria might carry the disease for months or years before falling ill. In the meantime, an infected pregnant woman could pass malaria to her unborn child, and a mosquito could bite an unsuspecting infected person and pass malaria on when it bites another person.   Moreover, Gluckman warned, there is “a very large group of at-risk people who rarely get screened.”    “These people grew up in developing parts of the world but now live in the U.S.,” he said. “When returning to visit their country of origin, they very rarely seek any prevention advice because they grew up in a community that did not have access to prevention.”   “They are difficult to reach but clearly could be accessed by the proper public health programs in the communities where they live in the U.S.A.,” he said.   People who grew up in malaria-endemic areas, especially those who were exposed as children, do gain some natural protection, but they still can get malaria and therefore need to take preventive steps. In addition, spending long periods in a malaria-free area, like the U.S., can reduce immunity and render people more susceptible to infection.    “You can develop immunity,” Khuu said. “But after you move away, that immunity wanes. If they go back to visit, they might not use the preventive measures because they might think they’re still immune.”   And why do men appear to be more vulnerable, comprising 60 percent of the U.S. cases? Khuu believes they are less likely to seek pre-travel advice, less likely to use mosquito repellent and take anti-malarial medication, and their sweat might be more attractive to mosquitoes.  "
2pn7q2A,2017-04-28,Rethink emphasis on lowering saturated fat to save hearts: docs," (Reuters Health) - Instead of eating less saturated fat and worrying about so-called bad cholesterol, a group of doctors suggests an alternative approach for preventing heart disease.   More important, they say, is to focus on decreasing insulin resistance and inflammation in the body by targeting diet, exercise and reducing stress.   “If we target all those three things together (plus) a reduction of smoking then we’ll combat 80 percent of all heart disease,” said Dr. Aseem Malhotra of Lister Hospital in Stevenage, UK, who coauthored an editorial in the British Journal of Sports Medicine.   Saturated fats are mostly found in animal products like beef, pork, butter, cheese and other dairy.   Blaming coronary artery disease on saturated fat that clogs arteries is “just plain wrong,” according to Malhotra and his two coauthors, Dr. Rita Redberg of the University of California, San Francisco and Dr. Pascal Meier of University College London, UK.   In their editorial, the three experts cite a 2015 review of past research that found no link between a diet full of saturated fats and an increased risk of coronary heart disease, type 2 diabetes, stroke due to clogged arteries, death from coronary heart disease, or death from any cause.   Furthermore, Malhotra told Reuters Health, the traditional advice to reduce levels of “bad” low-density lipoprotein (LDL) cholesterol through diet and exercise “is flawed.”   He and his colleagues point to studies in which people who replaced saturated fat with vegetable oils containing omega-6 fatty acids did lower their LDL and total cholesterol levels but still ended up with a higher rate of death.   They also cite the well-known PREDIMED trial, in which people eating a Mediterranean diet with fats from olive oil or nuts were at lower risk of heart problems than people following a low-fat diet.    Another trial found better outcomes in people following a Mediterranean diet than in people eating a typical French diet, despite similar LDL levels in both groups.       The best way to predict heart disease risk, they write, is to look at patients’ ratio of total cholesterol to “good” high-density lipoprotein (HDL) cholesterol. A high ratio is linked with insulin resistance, which leads to high blood sugar and higher risks for heart disease, type 2 diabetes and obesity.   Malhotra said insulin resistance is worsened when low-fat dieting leads people to eat more refined carbohydrates like white bread and white rice, which are not found in Mediterranean diets.   He and his colleagues say Mediterranean diets, exercise and reducing stress all help combat inflammation.   “I think the best way to reduce risk of heart disease and stay healthy is to concentrate on a heart-healthy Mediterranean style diet, regular physical activity and not smoking,” Redberg told Reuters Health by email.   Dr. Stephen Kopecky, a cardiologist at the Mayo Clinic in Rochester, Minnesota, agrees with the experts’ inflammation theory but isn’t ready to remove the emphasis on LDL cholesterol.    Kopecky told Reuters Health that LDL levels are still an important measure to watch and treat with medications.   Dr. Dariush Mozaffarian, dean of the Tufts Friedman School of Nutrition Science and Policy in Boston, also says LDL levels are still important.   “I think the message is correct that we need more focus on diet and reducing inflammation,” Mozaffarian told Reuters Health. “It doesn’t mean we should throw out an additional tool focusing on LDL cholesterol and treatment.”    Prevention doesn’t involve a choice between lifestyle changes or lowering cholesterol, Mozaffarian added.    “It’s both,” he said.  "
2pq43YX,2017-04-28,Is active surveillance safe for men with family history of prostate cancer?," (Reuters Health) - Having a family history of prostate cancer doesn’t make it more risky for men with a new diagnosis of the disease to initially hold off on active treatment in favor of monitoring with periodic lab tests, a research review suggests.    It’s becoming more common for doctors to skip aggressive treatments like surgery or radiation for men with low-risk prostate tumors in favor of doing periodic tests to see if tumors grow, a practice known as active surveillance. But research to date has offered a mixed verdict on whether this approach is safe for certain men with a higher risk, including black patients and people with a family history of prostate tumors.    For the current study, researchers analyzed data from six previously published studies and found that active surveillance wasn’t linked with an increased risk of prostate cancer progressing for men with a family history. One study did, however, find that family history increased the risk of cancer progression in black men.   “The current findings can help doctors reassure patients that having a family history of prostate cancer should not automatically exclude them from being considered for active surveillance, although more research needs to be done for African American men,” said senior study author Dr. James Dupree, a urology researcher at the University of Michigan in Ann Arbor.    Most men with prostate cancer are diagnosed with low-risk tumors that haven’t spread to other parts of the body. Often, doctors and patients struggle to choose the best course of action because it’s hard to tell which tumors will grow fast enough to be life-threatening and which ones might never get big enough to cause problems.   “Just because a cancer is found, it does not automatically mean it needs to get treated right away,” Dupree said by email. “In some cases, cancer should be treated, but in other cases it may not need immediate treatment and can be managed with active surveillance.”   For example, Dupree and colleagues reviewed one study of 200 patients that didn’t detect a meaningful difference in high-risk tumors based on whether or not men had a family history. In men who did have a family history, this study also didn’t find a difference in risk based on the number of relatives with prostate cancer.    Two other studies in the review looked at biomarkers for prostate tumors, including results from prostate specific antigen (PSA) tests that are commonly used to look for these malignancies. Neither study found family history to be a meaningful predictor of aggressive prostate cancer.    In another study, family history wasn’t a good predictor of aggressive tumors for most men, but it did signal an increased risk for black men.    One limitation of the research review is that it included only six studies, the authors note in BJU International.    Still, the findings should reassure men with a family history of prostate cancer that active surveillance may be a reasonable option in some cases, said Dr. Behfar Ehdaie, a urologic surgeon at Memorial Sloan Kettering Cancer Center in New York who wasn’t involved in the study.    “Screening for prostate cancer saves lives,” Ehdaie said by email. “However, the decisions after prostate cancer is detected may lead to overtreatment.”   To strike the right balance, doctors can screen men at a young age with a PSA blood test to help determine a patient’s future risk, then recommend an appropriate treatment after a man is diagnosed with prostate cancer, Ehdaie added.    “Incorporating active surveillance to treat men with low risk prostate cancer reduces the harms of overtreatment associated with both surgery and radiation therapy,” Ehdaie said.   "
2pqBoEQ,2017-04-27,Can puppies protect babies from allergies and obesity?," Reuters Health) - Exposing babies to puppies and other furry pets might help them accumulate two types of bacteria in their gut that are associated with a lower risk of allergies and obesity, a Canadian study suggests.    When researchers analyzed fecal samples from 746 babies, they found having dogs and cats in the home during pregnancy and early infancy was associated with higher levels of two gut microbes: Ruminococcus and Oscillospira, which have been linked with lower odds of allergies and obesity, respectively.   “The concept of a `dog intervention’ during pregnancy as a preventive measure for allergies and obesity is not too far-fetched but definitive studies are required to provide evidence for this health benefit,” said senior study author Anita Kozyrskyj, a pediatrics researcher at the University of Alberta.    While the study doesn’t prove pets directly prevent allergies or obesity or demonstrate how cats and dogs cause changes in gut bacteria, it’s possible that pet exposure during pregnancy may influence the composition of gut microbes in the infant by affecting the mother’s vaginal or skin microbes, Kozyrskyj said by email.    Changes in the mother’s microbes might be passed on during birth, even with a surgical delivery, Kozyrskyj added. After that, pets might directly transfer beneficial microbes when they touch babies, and infants may also pick up pet microbes that are left on household surfaces or in dust.    About 45 percent of the households in the study didn’t have any pets, and another 8 percent only had animals during pregnancy, researchers report in the journal Microbiome.    Among the homes with pets both during pregnancy and afterwards, 44 percent had only dogs, 34 percent had just cats and 20 percent had at least one of each.    Regardless of the way babies were delivered, they were more than twice as likely to have high levels of Ruminococcus and Oscillospira when they were exposed to furry creatures while in the womb or during infancy.    Among vaginally delivered babies whose mothers got antibiotics to prevent group B Streptococcus transmission during birth, infants exposed to pets in utero or after delivery had lower levels of Streptococcaceae bacteria in their feces. This family of bacteria can cause pneumonia in infants.    Pet exposure was also linked to lower fecal levels of Enterobacteria even among babies born by emergency cesarean who normally have high levels of these microbes at three months of age. These bacteria are associated with Salmonella and other infections.    The study isn’t a controlled experiment designed to prove that pets prevent diseases, the authors note.    Still, the findings add to growing evidence linking exposure to household pets and farm animals with a lower risk of health problems like asthma and allergies, said Tove Fall, a researcher at Uppsala University in Sweden who wasn’t involved in the study.    “This study shows that some bacteria are more common in the gut flora of children born in homes with pets - these findings need to be replicated in other studies,” Fall said by email. “It is not known how these bacteria affect the child health, but in general a higher diversity and richness of the gut flora is thought to help to protect the child from diseases linked to the immune system.”  "
2ox3zmk,2017-04-27,Going to college may increase risk of marijuana use," (Reuters Health) - College is increasingly a gateway for young adults in the U.S. to begin using marijuana and the risk keeps growing the more “normalized” pot use becomes, researchers say.   “We have been expecting marijuana use to increase among young adults,” lead author Richard Miech told Reuters Health in an email.   Young adults today as compared to those of the past are less likely to hold the belief that occasional marijuana use will negatively affect their health, said Miech, a researcher at the University of Michigan in Ann Arbor.   “We’ve seen again and again that when this belief trends down then marijuana use increases (e.g. in the early 1990s), and, conversely, that when this belief trends up then marijuana use declines (e.g. in the mid-1980s),” he told Reuters Health by email.   Miech and his colleagues think the recent string of U.S. states having legalized recreational use of marijuana accounts in part for the declining proportion of young adults who believe that occasional marijuana use is harmful to health.     “It is likely that at least some young adults interpret this wave of legalization as a signal that marijuana use is safe and state-sanctioned,” he said.   To see how that is affecting recreational use among young people, the study team analyzed data from annual surveys of more than 50,000 adults and adolescents. The surveys have been ongoing since 1975, and are funded by the National Institute on Drug Abuse, Miech said.   They focused on participants who were 19 to 22 years old between 1977 and 2015 and had never used marijuana before their senior year in high school. That was around 64 percent of participants.   About 9 percent of 19-year-olds and 15 percent of 22-year-olds not in college started using marijuana after high school and those percentages remained stable through the entire study period, the researchers report in American Journal of Public Health.   Among college students, the proportion that started using marijuana ranged from 13 percent to 17 percent between 1977 and 2012, then those numbers crept up to between 18 percent and 21 percent from 2013 to 2015.    “We found that marijuana initiation did increase among young adults age 19-22 since 2013, but only among those in college. There was no change in levels of marijuana initiation among 19-22 year-olds who were not in college,” Miech said.   The college environment appears to promote substance use, perhaps in part because of the lack of parental supervision, lots of free time and a party culture, Miech said.   “For what it’s worth, higher levels of substance use in college is also seen with binge drinking (5+ drinks in one sitting): youth age 19-22 are much more likely to binge drink if they are in college as compared to their age peers who are not in college,” Miech said.    Parents should know the majority of young adults who attend college do not initiate marijuana use, Miech added, but the number is increasing.     “There are many reasons why college students might try or use marijuana,” said Christine Lee, director of the Center for the Study of Health and Risk Behaviors at the University of Washington in Seattle, who wasn’t involved in the study.   “We surveyed incoming first-year college students on why they tried or use marijuana . . . . For some, experimentation was a motivator. Young adults might just want to try it and see what it is about. For others, they might use marijuana for reasons such as for social bonding, relaxation, boredom, to fit in, or to enjoy the feeling,” Lee said by email.   It would be helpful to begin to identify whether there are high-risk periods for marijuana initiation such as the first six weeks of college, as the study authors suggest, or specific events such as 21st birthdays, particularly for students living in states where recreational marijuana use is legal for those 21 and over.     “If we can identify certain risk periods, it would be easier for colleges to target resources and prevention activities to those times,” she said.  "
2q9rRPG,2017-04-27,Many exercise options are tied to better brain function," (Reuters Health) - Older adults who want to get moving to help boost their brain function have a wide variety of workouts to choose from, a research review suggests.    Among the many options for working out over 50, tai chi may have the biggest effect on cognitive function, but aerobic and resistance exercises may also have some benefit, the review found.    “Age is a risk factor no one can avoid when it comes to cognitive decline and other neurological disorders such as dementia or Alzheimer’s disease,” said lead study author Joe Northey of the University of Canberra Research Institute for Sport and Exercise in Australia.    “As our study shows, undertaking just a few days of moderate intensity aerobic and resistance training during the week is a simple and effective way to improve the way your brain functions while also reducing the impact of other risk factors for cognitive decline such as obesity and diabetes,” Northey said by email.    Some previous research suggests that heart-healthy lifestyle choices like avoiding cigarettes, eating a balanced diet and getting plenty of exercise may help stall the cognitive decline that happens with age, but these studies offer a mixed picture of what type of activity is best.    For the current review, Northey and colleagues analyzed data from 36 previously published studies looking at how much the intensity and frequency of different types of exercise was associated with improvements in cognitive function in people 50 and older.    Studies in the analysis were controlled experiments that randomly assigned some participants to specific exercise interventions to assess how activity influenced cognition.    While researchers included people with varying levels of cognitive ability, they excluded patients with a history of stroke, depression or other mental illnesses.    Across all the studies, they compared the average amount of improvement for different types of exercises and found the largest gains associated with tai chi, a Chinese meditation practice that combines deep breathing and slow, fluid movements.   Aerobic exercise, resistance training and workouts that blended different types of physical activity were also associated with gains in cognitive function, but didn’t have as much of an effect as tai chi, researchers report in the British Journal of Sports Medicine.    In particular, working memory improved with tai chi and resistance training, which was also associated with gains in executive function.    Yoga had a slight impact on brain function, but it was too small to rule out the possibility that it was due to chance.    Workouts of 45 to 60 minutes were associated with significant improvements in cognitive function, which weren’t seen with shorter or longer exercise sessions.    As for the intensity of workouts, light exercise didn’t have an effect on cognitive function but both moderate and vigorous exercise was associated with similar and meaningful gains, the study found.    Exercising more often was associated with bigger gains in cognitive ability, but there was still an improvement with no more than two workouts a week, the study found.    One limitation of the study is that the analysis focused on supervised exercise interventions, which might not reflect what people would do in the real world, the authors note.    Still, the study offers fresh evidence that the biggest benefits of exercise on brain health are expected with higher amounts, like 45 minutes or more multiple times a week, said Dr. Jeffrey Burns, co-director of the University of Kansas Alzheimer’s Disease Center in Kansas City.   “More exercise is likely better for driving brain benefits than modest amounts but we also know that some is better than none, especially for other physical benefits,” Burns, who wasn’t involved in the study, said by email. “So the key message from this study is don’t just exercise for heart health, exercise also to promote your brain health.”  "
2q7krgL,2017-04-26,Yoga tied to better quality of life with ulcerative colitis," (Reuters Health) - Weekly yoga sessions may be associated with a better quality of life for patients with ulcerative colitis, a chronic inflammatory bowel disease that can be exacerbated by stress, a small study suggests.                     People practice yoga in Times Square as part of a Summer Solstice and International Day of Yoga celebration in New York June 21, 2015. REUTERS/Eduardo Munoz       People with ulcerative colitis have inflammation in the lining of the large intestine that can lead to symptoms like diarrhea and abdominal pain. When symptoms are severe, patients may have sudden loose or bloody stools so often that it impairs their ability to navigate normal daily activities like going to school or work.    Researchers studied 77 ulcerative colitis patients who reported a reduced quality of life due to the disease even though their symptoms were clinically in remission. They randomly assigned participants to receive either 12 weekly yoga sessions or written self-care advice and found the yoga group had greater improvements in quality of life.    “It seems to be safe and effective, so it is surely worth trying yoga as an add-on to other evidence-based interventions at least for maintenance of remission,” said lead study author Dr. Holger Cramer, a researcher at the University of Duisburg-Essen in Germany.    “It definitely should not be used as a replacement but rather as an ancillary intervention,” Cramer said by email. “That’s how it was used in our study.”   Previous research has linked higher perceived stress levels to more severe ulcerative colitis symptoms, and other studies have also tied yoga to reduced stress in both healthy and sick people, researchers note in the journal Alimentary Pharmacology and Therapeutics.    While there isn’t a standard treatment regimen that’s the same for all patients with ulcerative colitis, they may take a variety of different drugs to curb inflammation and achieve symptom remission. In more severe cases, they may need surgery to remove the colon and rectum.    At the start of the current study, patients had been in remission for at least four weeks and no longer than one year.    People were excluded if they weren’t in remission and had active symptoms, if they had surgery to remove their colon, or if they had medical problems that would make it hard for them to do even light yoga exercises.    Patients assigned to yoga during the study took 90-minute classes in what’s known as hatha yoga, with postures and breathing exercises designed to calm the body and mind. People in the yoga group were also given manuals to try poses at home and encouraged to keep a daily log of their practice time.    Everyone in the control group of self-care patients received two books with general information on ulcerative colitis and strategies for improving symptoms with lifestyle modifications, medication and other approaches. They were asked not to start a yoga practice or any other exercise regimen during the study.    With yoga, people reported a better quality of life after 12 weeks of classes, and again three months later.     Five patients in the yoga group had side effects like musculoskeletal pain that may have been related to the yoga, while none of the mild side effects in the self-care group appeared related to this intervention.    One limitation of the study is that many patients dropped out of the yoga class, mainly because it proved too time consuming, the authors note. It’s also possible that personal attention from yoga instructors contributed to outcomes for that group rather than the yoga itself, the researchers point out.    Still, some previous studies suggest that stress reduction may have direct anti-inflammatory effects, which may explain why yoga reduced disease activity and flares in patients with ulcerative colitis in the current study, said Dr. Gilaad Kaplan, a gastroenterologist, at the University of Calgary in Canada.    “Yoga should not replace the medications that help patients with ulcerative colitis go into remission,” Kaplan, who wasn’t involved in the study, said by email. “But yoga may serve as complementary intervention, particularly in patients experiencing stress or whose quality of life is poor.”  "
2qeExEZ,2017-04-26,Pregnancy complications await childhood cancer survivors," (Reuters Health) - Women who manage to conceive after surviving childhood cancer may encounter treatment-related pregnancy and labor complications if they got radiation for their malignancies, a recent study suggests.                     A pregnant woman, in the last trimester of her pregnancy, poses in this illustration photo in Sete, South France, March 26, 2016. REUTERS/Regis Duvignau      Female cancer survivors who got abdominal radiation are more than three times more likely to develop diabetes during pregnancy as their peers who received different tumor treatments, the study found. After radiation, these cancer survivors are also more than twice as likely to develop anemia during pregnancy.    Survivors of Wilms tumors, a rare type of childhood kidney cancer, had more than three times the risk of high blood pressure during pregnancy when their treatment included abdominal or pelvic radiation.    When they didn’t get radiation, however, female cancer survivors didn’t appear to have any greater risk of labor complications than women who never had cancer, the study also found.   “It is reassuring that the majority of women who survived childhood cancer and who became pregnant are not at increased risk of developing specific adverse labor complications compared to the general population,” said lead study author Raoul Reulen of the Center for Childhood Cancer Studies at the University of Birmingham in the UK.    Survival from childhood cancer has improved dramatically in recent decades, and roughly four in five kids diagnosed with tumors survive at least five years, researchers note.    “It is important that women who have been treated for childhood cancer and who want to become pregnant or are pregnant are aware of the specific treatments (e.g. radiotherapy, chemotherapy) they received as a child and discuss the potential implications of the treatment on the pregnancy with their obstetrician,” Reulen said by email.    For the study, researchers examined data on a total of 2,783 singleton pregnancies among 1,712 childhood cancer survivors. All of the women were diagnosed with tumors by age 14.    Women were typically around 29 years old when they delivered their babies. The majority of them had survived leukemia, central nervous system tumors or Wilms.    A total of 1,183 women received any radiation as part of their cancer treatment, and 205 of them had abdominal radiation.    Women who got abdominal radiation were 46 percent more likely to have elective cesarean deliveries compared to the general population of pregnant women who didn’t have childhood cancer. Cancer survivors who didn’t have abdominal radiation were 39 percent more likely to have elective cesareans.    Emergency cesarean rates were similar regardless of cancer history.   While the study wasn’t a controlled experiment designed to prove whether or how radiation leads to pregnancy complications, it’s possible radiation causes kidney damage that contributes to anemia and elevated blood pressure, or increases the risk of diabetes by harming the pancreas, the authors note.     One limitation of the study is that researchers lacked records on the doses of radiation or chemotherapy patients received, and they also didn’t know the site of radiation for some survivors.     Still, the study offers fresh insight into pregnancy complications that may follow childhood cancer, said Dr. Daniel Green of St. Jude Children’s Research Hospital in Memphis, Tennessee.     “We already knew about pregnancy related hypertension after abdominal irradiation, and about diabetes (but not pregnancy related diabetes) after abdominal irradiation,” Green, who wasn’t involved in the study, said by email. “We did not know there was an increased risk for anemia during pregnancy.”   Ideally, cancer survivors should consider these risks before trying to conceive, said Dr. Kutluk Oktay, director of the Innovation Institute for Fertility Preservation in New York.    “Cancer survivors should seek preconception evaluation from maternal fetal specialists before attempting pregnancy,” Oktay, who wasn’t involved in the study, said by email.  "
